trimestre_date,annee,code_region,nom_region,operations_actives,valeur_operation_manquante,periode
2021-06-01,2021,27,Bourgogne-Franche-Comté,0,False,2021Q2
2022-12-01,2022,76,Occitanie,23,False,2022Q4
2024-09-01,2024,28,Normandie,24,False,2024Q3
2025-06-01,2025,32,Hauts-de-France,83,False,2025Q2
2025-03-01,2025,11,Île-de-France,39,False,2025Q1
2024-09-01,2024,27,Bourgogne-Franche-Comté,36,False,2024Q3
2024-09-01,2024,32,Hauts-de-France,62,False,2024Q3
2024-06-01,2024,27,Bourgogne-Franche-Comté,24,False,2024Q2
2022-12-01,2022,24,Centre-Val-de-Loire,3,False,2022Q4
2025-06-01,2025,76,Occitanie,174,False,2025Q2
2024-12-01,2024,44,Grand-Est,81,False,2024Q4
2024-12-01,2024,11,Île-de-France,33,False,2024Q4
2024-03-01,2024,27,Bourgogne-Franche-Comté,18,False,2024Q1
2021-09-01,2021,84,Auvergne-Rhônes-Alpes,5,False,2021Q3
2021-09-01,2021,75,Nouvelle-Aquitaine,6,False,2021Q3
2023-09-01,2023,32,Hauts-de-France,38,False,2023Q3
2025-06-01,2025,28,Normandie,38,False,2025Q2
2022-12-01,2022,84,Auvergne-Rhônes-Alpes,10,False,2022Q4
2025-06-01,2025,44,Grand-Est,113,False,2025Q2
2024-06-01,2024,28,Normandie,17,False,2024Q2
2022-12-01,2022,75,Nouvelle-Aquitaine,12,False,2022Q4
2021-06-01,2021,93,Provence-Alpes-Côte-d'Azur,0,True,2021Q2
2024-03-01,2024,24,Centre-Val-de-Loire,8,False,2024Q1
2025-03-01,2025,52,Pays-de-la-Loire,85,False,2025Q1
2025-03-01,2025,93,Provence-Alpes-Côte-d'Azur,54,False,2025Q1
2021-09-01,2021,53,Bretagne,4,False,2021Q3
2024-12-01,2024,53,Bretagne,55,False,2024Q4
2025-03-01,2025,75,Nouvelle-Aquitaine,90,False,2025Q1
2024-09-01,2024,75,Nouvelle-Aquitaine,58,False,2024Q3
2024-06-01,2024,24,Centre-Val-de-Loire,10,False,2024Q2
2024-06-01,2024,93,Provence-Alpes-Côte-d'Azur,29,False,2024Q2
